id,midden,midden.S,tree,lat,long,serotiny,dbh,distance,direction,cones.sampled,length,width,width.scale,count.seeds,mass.cone,mass.seed,mass.ratio,count.before,count.after,predation,jdate.cone,ns.season
2.13.07,13,0.25,7,41.06.859,106.08.812,NS,20.4,37,NE,3,35.68333333,21.38333333,3.978366667,34.66666667,5.376666667,0.09944,0.022657734,7,3,0.571428571,257,spring
2.13.08,13,0.25,8,41.06.849,106.08.807,NS,18.2,37,E,3,32.01,19.84,2.457633333,20,4.820555556,0.05178,0.021919208,13,7,0.461538462,257,spring
2.13.09,13,0.25,9,41.06.847,106.08.804,S,20.4,40,E,3,37.05333333,18,2.889533333,10.33333333,3.625555556,0.034946667,0.011950459,23,23,0,257,NA
2.13.11,13,0.25,11,41.06.832,106.08.811,S,24.5,35,SE,3,32.98333333,19.08666667,3.184666667,10.33333333,4.337777778,0.025706667,0.006084238,5,5,0,257,NA
2.13.12,13,0.25,12,41.06.831,106.08.821,NS,28.3,29,SE,3,45.22,26.49666667,6.183166667,26.66666667,6.375,0.088933333,0.014517516,5,4,0.2,257,spring
2.13.13,13,0.25,13,41.06.833,106.08.832,NS,34.1,21,S,3,26.28333333,18.56333333,2.151066667,21.33333333,4.513333333,0.03736,0.017437183,30,29,0.033333333,257,spring
2.13.15,13,0.25,15,41.06.829,106.08.845,NS,24.5,34,SW,2,32.01,22.425,3.5986,8,5.513333333,0.01858,0.005123315,15,15,0,257,spring
2.13.16,13,0.25,16,41.06.836,106.08.853,S,22,35,SW,3,25.23333333,16.67666667,2.138633333,7.666666667,4.16,0.020806667,0.009604616,18,11,0.388888889,257,NA
2.13.18,13,0.25,18,41.06.848,106.08.854,S,12.7,28,W,3,35.14666667,26.07,5.150466667,34.66666667,5.701666667,0.113226667,0.022600036,13,13,0,257,NA
2.13.19,13,0.25,19,41.06.855,106.08.854,NS,15,40,NW,3,29.43,16.87333333,2.052966667,17.33333333,5.568333333,0.039186667,0.021519192,12,12,0,257,spring
2.13.20,13,0.25,20,41.06.854,106.08.845,NS,13.7,28,NW,3,30.59333333,23.32666667,3.856066667,7,4.526111111,0.028513333,0.007513141,3,0,1,257,spring
2.13.21,13,0.25,21,41.06.861,106.08.814,NS,25.8,42,NE,3,48.87666667,30.01333333,8.249666667,19.66666667,6.595,0.054933333,0.006673569,15,15,0,257,spring
2.13.22,13,0.25,22,41.06.861,106.08.834,NS,19.1,32,N,3,37.59333333,25.44666667,5.183766667,31.33333333,6.073333333,0.05374,0.010318393,9,1,0.888888889,257,spring
2.15.01,15,0.25,1,41.05.558,106.08.402,NS,20.1,23,N,3,32.47,19.22666667,2.555266667,29,4.448888889,0.07094,0.027062275,22,3,0.863636364,249,spring
2.15.02,15,0.25,2,41.05.557,106.08.409,S,17.5,24,NW,2,30.585,21.65,2.9018,8,3.881666667,0.01949,0.006522135,18,13,0.277777778,249,NA
2.15.04,15,0.25,4,41.05.560,106.08.389,NS,26.1,25,NE,3,35.53666667,24.40333333,4.639833333,24.33333333,6.573333333,0.064273333,0.013861595,8,0,1,249,spring
2.15.05,15,0.25,5,41.05.559,106.08.383,S,18.8,31,NE,1,39,22.93,5.0955,15,5.31,0.0489,0.009596703,30,25,0.166666667,249,NA
2.15.10,15,0.25,10,41.05.539,106.08.374,NS,16.6,40,SE,1,29.51,19.67,2.6306,13,4.47,0.03666,0.013935984,2,2,0,249,spring
2.15.11,15,0.25,11,41.05.544,106.08.389,NS,23.3,19,E,2,32.315,22.2,3.4408,24,5.4475,0.0765,0.022287718,7,5,0.285714286,249,spring
2.15.12,15,0.25,12,41.05.535,106.08.388,NS,17.5,27,SE,3,29.445,18.055,2.53805,25.33333333,4.180833333,0.0441,0.015420733,5,5,0,249,spring
2.15.16,15,0.25,16,41.05.538,106.08.407,S,24.5,21,SW,3,39.52333333,21.44333333,4.6113,20.66666667,5.366111111,0.077613333,0.015329805,8,3,0.625,255,NA
2.15.20,15,0.25,20,41.05.558,106.08.420,NS,19.7,39,NW,1,29.11,19.83,2.6853,11,4.911666667,0.01892,0.007045768,9,9,0,255,spring
2.16.03,16,0.5,3,41.05.530,106.08.225,NS,23.9,28,NE,1,34.37,23.87,4.471666667,17,5.127,0.05984,0.011671543,10,9,0.1,259,spring
2.16.04,16,0.5,4,41.05.528,106.08.221,S,19.7,34,NE,3,34.95333333,21.82,5.653333333,20,4.1281,0.046173333,0.010688477,6,6,0,259,NA
2.16.05,16,0.5,5,41.05.521,106.08.220,NS,25.5,29,E,3,34.31333333,23.64,5.957222222,22,3.6741,0.057326667,0.015434972,24,17,0.291666667,259,spring
2.16.07,16,0.5,7,41.05.515,106.08.215,S,26.8,34,SE,3,40.2,25.16,5.648333333,9.6666667,5.4582,0.034813333,0.005687353,3,3,0,259,NA
2.16.12,16,0.5,12,41.05.508,106.08.256,S,23.9,34,SW,3,27.32333333,20.27333333,4.303888889,14.333333,2.4045,0.020953333,0.008741226,36,34,0.055555556,259,NA
2.16.13,16,0.5,13,41.05.516,106.08.262,S,20.7,33,W,3,28.53,19.09333333,4.368333333,25.33333333,2.789133333,0.053013333,0.018696234,6,3,0.5,259,NA
2.16.16,16,0.5,16,41.05.528,106.08.248,S,23.6,19,NW,3,34.65666667,18.80666667,5.105,13.33333333,3.395633333,0.027186667,0.008311009,4,3,0.25,259,NA
2.17.01,17,0.35,1,41.05.634,106.08.162,S,23.2,15,N,2,37.49,24.17,5.9275,23,5.34175,0.05918,0.011005506,4,4,0,261,NA
2.17.03,17,0.35,3,41.05.633,106.08.145,S,18.2,26,NE,3,30.17666667,18.55666667,4.545,14,2.544466667,0.038306667,0.01505489,23,9,0.608695652,261,NA
2.17.09,17,0.35,9,41.05.614,106.08.168,S,20,24,S,3,32.88333333,23.93333333,5.181111111,6.666666667,4.092466667,0.01242,0.002732366,6,6,0,261,NA
2.17.10,17,0.35,10,41.05.612,106.08.174,S,22.6,34,SW,3,30.89,23.58,5.248888889,14.33333333,4.6082,0.041846667,0.00874938,17,16,0.058823529,261,NA
2.17.12,17,0.35,12,41.05.620,106.08.182,S,19.7,23,W,3,34.76333333,22.15666667,6.022222222,6.333333333,3.923966667,0.02138,0.004925841,2,1,0.5,261,NA
2.19.01,19,0.5,1,41.05.638,106.07.850,S,11.5,35,NW,3,32.57666667,24.73333333,5.726666667,7.666666667,4.833766667,0.02274,0.004625868,5,5,0,252,NA
2.19.05,19,0.5,5,41.05.632,106.07.823,S,14,25,NE,3,37.11,23.07666667,5.103333333,25.66666667,4.589633333,0.056673333,0.012563186,2,2,0,252,NA
